nom_scientifique,ID,nom_commun,autres_noms,id_famille,taille_adulte_₋,taille_adulte_₊,profondeur_habituelle_-,profondeur_habituelle₊,Colonne_d_eau,reglementation,danger,mode_de_vie,entrainement_modele,A_entrainer,Cotes_françaises,Mediterranée,Atlantique,Manche,Mer du Nord,Pêche_commerciale,IUCN_red_list,citation_ouvrages,citation_doris,lien_fiche_doris,Unnamed: 3,label,nb_images
Carcharhinus leucas,635,Le requin-bouledogue,,140,300.0,350,0.0,155.0,,,Mangeur d’homme,"Côtier, remonte également dans les fleuves",,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," FEY Laurent, MALIET Vincent in : DORIS, 21/01/2021 : Carcharhinus leucas (Müller & Henle, 1839)",https://doris.ffessm.fr/ref/specie/1801,,,
Carcharhinus limbatus,637,Le requin bordé,,140,300.0,340,0.0,50.0,,,Potentiellement aggressif,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," MALIET Vincent, SITTLER Alain-Pierre in : DORIS, 20/04/2022 : Carcharhinus limbatus (Müller & Henle, 1839)",https://doris.ffessm.fr/ref/specie/1665,,,
Carcharhinus longimanus,641,Le requoin océanique,,140,300.0,400,0.0,40.0,Souvent en surface,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," EPAILLY Olivier, MALIET Vincent, ROCHEFORT Gaël in : DORIS, 17/02/2021 : Carcharhinus longimanus (Poey, 1861)",https://doris.ffessm.fr/ref/specie/976,,,
Carcharhinus melanopterus,644,Le requin pointes noires,,140,150.0,180,0.0,30.0,,,,Côtes rocheuses et plages de sable,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," LE BRIS Sylvain, MARAN Vincent in : DORIS, 07/05/2021 : Carcharhinus melanopterus (Quoy & Gaimard, 1824)",https://doris.ffessm.fr/ref/specie/2204,,,
Carcharhinus obscurus,633,Le requin sombre,,140,350.0,420,0.0,400.0,,,Attaques non fatales dans l’hemisphere sud,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," TISSOT Jean-Michel, ROCHEFORT Gaël, LE BRIS Sylvain in : DORIS, 07/05/2021 : Carcharhinus obscurus (Lesueur, 1818)",https://doris.ffessm.fr/ref/specie/4483,,,
Carcharhinus plumbeus,636,Le requin gris,,140,240.0,260,1.0,400.0,,,,"Surtout sur fond meuble, parfois pres des rochers",,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," JABOULAY Annie, SITTLER Alain-Pierre, JAMME Stéphane in : DORIS, 29/11/2020 : Carcharhinus plumbeus (Nardo, 1827)",https://doris.ffessm.fr/ref/specie/1782,,,
Carcharhinus signatus,643,Le requin de nuit,,140,200.0,280,90.0,280.0,,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,
Carcharias taurus,625,Le requin taureau,,138,280.0,320,0.0,70.0,,,,Espece essentiellement côtiere,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," FEY Laurent, MALIET Vincent in : DORIS, 21/01/2021 : Carcharias taurus Rafinesque, 1810",https://doris.ffessm.fr/ref/specie/1789,,,
Carcharodon carcharias,626,Le grand requin blanc,,139,640.0,720,0.0,100.0,,,Mortel,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," MALIET Vincent, MARAN Vincent, DE MADDALENA Alessandro, KUPFER Michel in : DORIS, 29/11/2020 : Carcharodon carcharias Linnaeus, 1758",https://doris.ffessm.fr/ref/specie/1649,,,
Caspiosoma caspium,452,Le gobie nu de Caspienne,,85,3.0,4.5,1.5,8.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,
Centracanthus cirrus,38,Le picarel guetteur,,12,15.0,20,30.0,80.0,loin du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,
Centrolabrus exoletus,231,Le centrolabre,,53,12.0,14,2.0,15.0,près du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,
