nom_scientifique,ID,nom_commun,autres_noms,id_famille,taille_adulte_min,taille_adulte_max,profondeur_habituelle_min,profondeur_habituelle_max,Colonne_d_eau,reglementation,danger,mode_de_vie,entrainement_modele,A_entrainer,Cotes_françaises,Mediterranée,Atlantique,Manche,Mer du Nord,Pêche_commerciale,IUCN_red_list,citation_ouvrages,citation_doris,id_doris,label,nb_images,class_img,id_worms
Blennius ocellaris,334,La blennie ocellée,,82,15.0,18,30.0,100.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Bodianus speciosus,233,Le labre à barre noire,,53,30.0,50,1.0,75.0,près du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Boops boops,201,La bogue,,44,20.0,25,5.0,30.0,près du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," COUDRE Christian, LE BRIS Sylvain, ANDRÉ Frédéric in : DORIS, 05/03/2023 : Boops boops (Linnaeus, 1758)",2701,13.0,555.0,68.jpg,127047
Boreogadus saida,294,La morue polaire,,52,25.0,35,,,près du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Bothus pantherinus,544,Le rombou-léopard,,114,20.0,23,3.0,15.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Bothus podas,543,Le rombou,,114,23.0,28,10.0,50.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," BASCOUL Sophie, LAMARE Véronique, CHANET Bruno in : DORIS, 24/07/2022 : Bothus podas (Delaroche, 1809)",726,86.0,531.0,<rnd>,
Brachydeuterus auritus,206,Le lippu pelon,,46,20.0,25,40.0,80.0,près du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Brama brama,30,La grande castagnole,,8,55.0,75,5.0,800.0,loin du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Brosme brosme,215,Le brosme,,52,80.0,90,100.0,400.0,près du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Buenia affinis,433,Le gobie réticulé,,85,,,35.0,35.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Buenia jeffreysii,432,Le gobie chauve,,85,5.0,6,5.0,330.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Buglossidium luteum,564,La petite sole jaune,,117,10.0,13,10.0,40.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Callanthias ruber,257,Le barbier-perroquet,,61,15.0,20,60.0,300.0,près du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Callionymus fasciatus,468,Le dragonnet fascié,,90,8.0,12,20.0,60.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Callionymus filamentosus,473,Le dragonnet de Mer Rouge,,90,7.0,11,1.0,100.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Callionymus lyra,469,Le dragonnet lyre,,90,18.0,25,5.0,100.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," SCAPS Patrick, MARAN Vincent, ZIEMSKI Frédéric in : DORIS, 04/09/2021 : Callionymus lyra Linnaeus, 1758",120,75.0,374.0,<rnd>,
Callionymus maculatus,467,Le dragonnet tacheté,,90,10.0,11,45.0,650.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Callionymus pusillus,472,Le dragonnet élégant,,90,8.0,12,1.0,5.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Callionymus reticulatus,470,Le dragonnet réticulé,,90,6.5,11.5,1.0,110.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Callionymus risso,471,Le callionyme bélène,,90,5.0,6,10.0,80.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Campogramma glaycos,87,La liche vadigo,,20,60.0,75,15.0,30.0,loin du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Canthigaster capistrata,322,Le tétraodon nain,,76,5.0,9,5.0,20.0,près du fond,,"Peau, foie et gonades extrêmement toxiques ( présence de tétraodontoxine)",,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Capros aper,302,Le sanglier,,68,10.0,13,100.0,400.0,près du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Caranx crysos,77,La carangue coubali,,20,45.0,60,0.0,40.0,loin du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Caranx hippos,79,La carangue crevalle,,20,60.0,80,1.0,40.0,loin du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Caranx latus,78,La carangue gros yeux,,20,50.0,60,1.0,20.0,loin du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Caranx lugubris,80,La carangue noire,,20,70.0,80,25.0,50.0,loin du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Caranx ronchus,75,La comète coussut,,20,45.0,60,30.0,50.0,loin du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Carapus acus,522,L’aurin,,109,15.0,20,20.0,50.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Carcharhinus altimus,632,Le requin-babosse,,140,250.0,300,90.0,300.0,,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Carcharhinus brachyurus,638,Le requin cuivre,,140,250.0,325,0.0,100.0,,,Parfois agressif en présence de nourriture,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Carcharhinus brevipinna,639,Le requin-tisserand,,140,200.0,300,0.0,75.0,,,,Plutôt côtier,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Carcharhinus falciformis,642,Le requin soyeux,,140,300.0,350,0.0,50.0,,,Parfois agressif,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," PRADEAU Christophe, BOURGOIS Jean-Sébastien, MÜLLER Yves in : DORIS, 21/01/2021 : Carcharhinus falciformis (Müller & Henle, 1839)",4524,,,<rnd>,
Carcharhinus galapagensis,634,Le requin des Galapagos,,140,300.0,370,0.0,200.0,,,"Agressif et territorial, des attaques mortelles",,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," TISSOT Jean-Michel, LE BRIS Sylvain in : DORIS, 07/05/2021 : Carcharhinus galapagensis (Snodgrass & Heller, 1905)",5090,,,<rnd>,
Carcharhinus isodon,640,Le requin a petites dents,,140,170.0,200,,,,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Carcharhinus leucas,635,Le requin-bouledogue,,140,300.0,350,0.0,155.0,,,Mangeur d’homme,"Côtier, remonte également dans les fleuves",,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," FEY Laurent, MALIET Vincent in : DORIS, 21/01/2021 : Carcharhinus leucas (Müller & Henle, 1839)",1801,,,<rnd>,
Carcharhinus limbatus,637,Le requin bordé,,140,300.0,340,0.0,50.0,,,Potentiellement aggressif,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," MALIET Vincent, SITTLER Alain-Pierre in : DORIS, 20/04/2022 : Carcharhinus limbatus (Müller & Henle, 1839)",1665,,,<rnd>,
Carcharhinus longimanus,641,Le requoin océanique,,140,300.0,400,0.0,40.0,Souvent en surface,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," EPAILLY Olivier, MALIET Vincent, ROCHEFORT Gaël in : DORIS, 17/02/2021 : Carcharhinus longimanus (Poey, 1861)",976,,,<rnd>,
Carcharhinus melanopterus,644,Le requin pointes noires,,140,150.0,180,0.0,30.0,,,,Côtes rocheuses et plages de sable,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," LE BRIS Sylvain, MARAN Vincent in : DORIS, 07/05/2021 : Carcharhinus melanopterus (Quoy & Gaimard, 1824)",2204,,,<rnd>,
Carcharhinus obscurus,633,Le requin sombre,,140,350.0,420,0.0,400.0,,,Attaques non fatales dans l’hemisphere sud,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," TISSOT Jean-Michel, ROCHEFORT Gaël, LE BRIS Sylvain in : DORIS, 07/05/2021 : Carcharhinus obscurus (Lesueur, 1818)",4483,,,<rnd>,
